id,Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
339,Sunrise Tours and Travels,A/C Sleeper (2+1),18:30,7:10,12h 40m,1099,6,2.81939349,https://www.redbus.in/bus-tickets/goa-to-bangalore,Goa to Bangalore
340,IntrCity SmartBus,,19:00,8:35,13h 35m,951,,4.039613474,https://www.redbus.in/bus-tickets/goa-to-bangalore,Goa to Bangalore
341,PVS Tours and Travels,A/C Sleeper (2+1),20:30,9:20,12h 50m,1399,11,3.933684455,https://www.redbus.in/bus-tickets/goa-to-mumbai,Goa to Mumbai
342,Atmaram Travels(M.Dev),A/C Sleeper (2+1),22:00,12:35,14h 35m,1699,7,2.822622435,https://www.redbus.in/bus-tickets/goa-to-mumbai,Goa to Mumbai
343,Atmaram Travels (Dolphin),A/C Sleeper (2+1),19:30,10:30,15h 00m,1599,15,4.720820923,https://www.redbus.in/bus-tickets/goa-to-mumbai,Goa to Mumbai
344,Atmaram Travels(M.Dev),A/C Sleeper (2+1),21:02,10:27,13h 25m,1799,16,1.614444567,https://www.redbus.in/bus-tickets/goa-to-mumbai,Goa to Mumbai
345,Atmaram Travels (Dolphin),A/C Sleeper (2+1),15:45,3:30,11h 45m,1699,2,3.139157053,https://www.redbus.in/bus-tickets/goa-to-mumbai,Goa to Mumbai
346,Kadamba Transport Corporation Limited (KTCL) - 61005,Non AC Seater 2+2,21:15,10:00,12h 45m,735,23,3.572961401,https://www.redbus.in/bus-tickets/pandharpur-to-goa,Pandharpur to Goa
347,New Shivbaba Tours And Travels,AC Sleeper (2+1),19:45,5:00,09h 15m,999,15,3.691271373,https://www.redbus.in/bus-tickets/pandharpur-to-goa,Pandharpur to Goa
348,New Shivbaba Tours And Travels,AC Sleeper (2+1),19:45,6:30,10h 45m,899,14,1.071032822,https://www.redbus.in/bus-tickets/pandharpur-to-goa,Pandharpur to Goa
349,New Shivbaba Tours And Travels,AC Sleeper (2+1),19:45,6:00,10h 15m,999,16,4.837108034,https://www.redbus.in/bus-tickets/pandharpur-to-goa,Pandharpur to Goa
350,Kadamba Transport Corporation Limited (KTCL) - 60996,Non AC Seater 2+2,19:00,7:00,12h 00m,735,18,2.130984305,https://www.redbus.in/bus-tickets/goa-to-pandharpur,Goa to Pandharpur
351,Kadamba Transport Corporation Limited (KTCL) - 61005,Non AC Seater 2+2,20:00,10:00,14h 00m,850,24,3.915934991,https://www.redbus.in/bus-tickets/solapur-to-goa,Solapur to Goa
352,Humsafar Travels,Bharat Benz A/C Sleeper (2+1),23:15,8:00,08h 45m,1550,15,2.55842239,https://www.redbus.in/bus-tickets/solapur-to-goa,Solapur to Goa
353,Sharma Travels,AC Sleeper (2+1),23:01,9:01,10h 00m,2000,1,5.841553872,https://www.redbus.in/bus-tickets/solapur-to-goa,Solapur to Goa
354,S R Travels,A/C Seater/Sleeper (2+1),18:45,7:00,12h 15m,1000,4,5.542924798,https://www.redbus.in/bus-tickets/solapur-to-goa,Solapur to Goa
355,New Shivbaba Tours And Travels,AC Sleeper (2+1),18:00,5:00,11h 00m,999,15,2.335364379,https://www.redbus.in/bus-tickets/solapur-to-goa,Solapur to Goa
356,Kadamba Transport Corporation Limited (KTCL) - 99719,AC Seater (2+2),18:30,20:00,01h 30m,200,38,1.412782386,https://www.redbus.in/bus-tickets/calangute-goa-to-goa-airport,Calangute (goa) to Goa Airport
